id,question,opa,opb,opc,opd,cop,subject
1558,Which of the following is not a reason for increased risk of vitamin or mineral deficiencies among older people in high income countries?,Low income so decreased ability to purchase nutrient-rich foods,Decreased mobility and little time spend outdoors in the sunshine,Decreased intrinsic factor in the stomach,High nutrient requirements for tissue turnover,D,nutrition
1559,What is the estimated global prevalence of untreated dental caries?,20%,40%,60%,80%,B,nutrition
1560,Bone mineral accretion,Is rapid in the first 10 weeks of foetal life,Is slow in infancy,"In childhood, adolescence and young adulthood predicts risk of fracture in old age",Is particularly high after the menopause in women,C,nutrition
1561,Which of the following is not considered a diagnostic feature of Anorexia Nervosa,Depressive symptoms,Significant Weight Loss,Body Image Distortion,Fear of becoming fat,A,nutrition
1562,Supplementation with long-chain fatty acids EPA and DHA during pregnancy and infancy will likely benefit the following:,Visual performance,Motor performance,Behaviour disorders,Memory,A,nutrition
1563,Deficiency of thiamin in alcoholics leads to,Wernicke-Korsakoff syndrome,Cushing syndrome,Fatty liver,Hypogonadism,A,nutrition
1564,"In human DNA, which nucleotide base is methylated at the 5' position?",Adenosine,Thymine,Cytosine,Guanine,C,nutrition
1565,Which of the following statements is correct regarding intracellular fat metabolism?,The mechanism by which non-esterified fatty acids are taken up by cells is by diffusion only.,"The mechanism by which non-esterified fatty acids are taken up by cells is by a combination of diffusion and carrier-mediated transport involving fatty acid binding, translocase and transport proteins.","The mechanism by which non-esterified fatty acids are taken up by cells is by a combination of diffusion and carrier-mediated transport involving fatty acid esterification, synthesis and transport proteins.","The mechanism by which non-esterified fatty acids are taken up by cells is by carrier-mediated transport only involving fatty acid binding, translocase and transport proteins.",B,nutrition
1566,Which of the following statements about the digestibility of dietary proteins is correct?,The digestibility of plant proteins is generally less good compared to animal proteins.,The digestibility of meat protein is less good compared with plant proteins.,Digestibility can only be measured at the terminal ileum,Digestibility can only be measured as faecal digestibility,A,nutrition
1567,Basal Metabolic Rate (BMR):,is measured in comfortable sitting position,is unaltered in hypothyroidism and hyperthyroidism,Is higher after weight gain because part of the excess weight is fat-free mass.,is not altered after weight loss.,C,nutrition
1568,What is the best method to estimate changes in body fat during weight loss?,BMI,DXA,Four-compartment model,MRI,C,nutrition
1569,Which of the following statements is correct?,Cholesterol mainly occurs in the cell walls of bacterial cells,Cholesterol mainly occurs in the cell walls of mammalian cells,Cholesterol mainly occurs in the cell walls of yeast cells,Cholesterol mainly occurs in plant cell walls.,B,nutrition
1570,Which of the following statements about the role of the intestine in development of obesity best describes the situation?,Obesity occurs because gut hormone secretion becomes deranged and PYY secretion fails to give a satiety signal.,"The gut/brain signalling pathway controls energy intake to within 2% of requirements, even in people who are morbidly obese","The problem is one of greed and gluttony, whereby people override strong satiety signals on a regular basis","Flavour signals from tasty, processed food will override satiety signals even after a large meal",B,nutrition
1571,Which of these factors is associated with an increase in the risk for prostate cancer?,Insulin-like growth factor-1,Dietary fat,Alcohol,Salt,A,nutrition
1572,Which of the following is not a function of vitamin A,Synthesis of the blood clotting proteins,Activation of vitamin D receptors,Activation of thyroid hormone receptors,Regulation of gene expression and cell differentiation,A,nutrition
1573,Which of the following confirmed values meet the diagnostic threshold for diabetes?,fasting blood glucose ? 140 mg/dl,random glucose > 160 mg/dl,2 hour post prandial glucose ≥ to 126 mg/dl,fasting blood glucose ≥ 126 mg/dl,D,nutrition
1574,What is the basic functional unit of skeletal muscle tissue?,the muscle fibre,the sarcomere,the myofibril,the sarcoplasmic reticulum,B,nutrition
1575,"In the past two decades, interest in maternal nutrition has been heightened following the findings of epidemiological studies that show links between early experience and later health. Which of the following statements is true:","although early life may appear to be important, observed links to risk of cardiovascular disease and type 2 diabetes can be largely explained by adult lifestyle",the observed links between early experience and later health have only been seen in UK studies,the epidemiological evidence shows programmed differences in physiology are only linked to events before birth,the epidemiological evidence shows programmed differences in physiology are linked to events before birth and in early postnatal life,D,nutrition
1576,Was T.R. Malthus correct in concluding that population growth will outstrip food production growth?,"No, technological and institutional innovations have permitted food supplies to more than keep pace with population growth.","Yes, it is only because of widespread famines that population has not overwhelmed food supplies altogether.","No, but it is only because of the introduction of genetically modified food that supplies have kept pace with population growth.","No, but supplies are not likely to keep pace with population growth over the next 10 years.",A,nutrition
1577,What are histones?,Lipids,Carbohydrates,Nucleotides,Proteins,D,nutrition
1578,Which of the following statements about methods of evaluating protein quality in human nutrition is correct?,"The rat protein efficiency ratio assay, (PER), is a good method of assessing protein quality for human nutrition.","The rat net protein-utilisation assay, (NPU), is the best method of assessing protein quality for human nutrition.",Animal growth assays underestimate the quality of dietary proteins for human nutrition,The growing rat is a good model for assessing protein quality in human nutrition.,C,nutrition
1579,Alcohol is a major risk factor for cancer development. Which alcohol metabolite plays a prominent role in cancer development?,fatty acid ethyl esters (FAEE),acetate,acetaldehyde,alcohol,C,nutrition
1580,The body mass index (BMI) of vegetarians differs on average from meat-eaters by how much?,3 units of BMI,0.5 units of BMI,1 unit of BMI,2 units of BMI,C,nutrition
1581,Which of the following statements about the diets and nutritional status of older people is correct?,Reports suggest that older people consume less than the recommended contribution of fat to energy intake.,Multiple micronutrient deficiencies are widespread in older people in high-income countries.,Older people generally have a lower energy intake than younger adults.,There is little variation in the dietary intake between older people.,C,nutrition
1582,Cholesterol and fatty acids absorbed from the intestinal lumen are packaged into which types of lipoproteins and secreted from the enterocytes into the lymph?,Chylomicrons and HDL,Chylomicrons and VLDL,HDL and LDL,VLDL and HDL,A,nutrition
1583,Which of the following vitamins is involved in one-carbon metabolism?,Folate,Riboflavin,Thiamin,Vitamin C,A,nutrition
1584,Which of the following is not a beneficial effect of exercise in people with diabetes:,Reduction of triglycerides,Hypoglycaemia,increase of insulin sensitivity,help controlling hypertension,B,nutrition
1585,Which of the following cannot be a substrate for gluconeogenesis?,Glutamic acid,Aspartic acid,Palmitic acid,Galactose,C,nutrition
1586,The intake of which minerals is not affected by high intakes of foods containing phytic acid?,Calcium,Potassium,Zinc,Iron,B,nutrition
1587,The pathogenesis of hyperglycemia in type 2 diabetes includes all the following mechanisms except for:,Increased glucose production by the liver,Impaired insulin secretion,Decreased glucose uptake from the skeletal muscle,All of the options given are correct,D,nutrition
1588,Inviduals suffering from inhalant allergies may also react to cross- reacting food allergens. A person suffering from a natural latex allergy might not react to one of the following allergens,avocado,mango,peach,figs,D,nutrition
1589,Which of the following methods is recommended to screen for malnutrition on admission to hospital?,A 7-day food diary,The MUST tool,Serum albumin concentration,Demi-span,B,nutrition
1590,Which of the following in not a zinc-dependent enzyme?,Superoxide dismutase,Alkaline phosphatase,Glutathione peroxidase,DNA polymerase,C,nutrition
1591,Which of the following statements about the protein requirement is correct,The protein requirement is equal to the demand multiplied by the efficiency of utilization.,The protein requirement is equal to the demand divided by the efficiency of utilization.,The protein requirement can be less than the demand.,The protein requirement is always the same as the demand.,B,nutrition
1592,What dietary pattern shows most promise in preventing age related cognitive decline,The Western diet,The Mediterranean diet,Neither,Both,B,nutrition
1593,What enzyme is responsible for copying methylation marks from the parental to the daughter strand of DNA during replication?,DNMT1,DNMT3a,DNMT3b,DNMT3L,A,nutrition
1594,What is the worldwide prevalence of obesity?,11%,13%,15%,39%,B,nutrition
1595,Lactose,Is always the cause of milk intolerance,Cannot be digested in the human gut,Intolerance is present in up to 20% of the population,Is excluded on a low FODMAP diet,D,nutrition
1596,How many stages within the food supply chain can food availability and consumption be measured?,10,5,2,4,B,nutrition
1597,Which of the following is a function of folate?,Synthesis of TMP (thymidine monophosphate),Decarboxylation of amino acids to form amine neurotransmitters,Synthesis of methionine from homocysteine,Carboxylation of pyruvate to oxaloacetate,A,nutrition
1598,The vitamins which are lost most readily during cooking are:,vitamin E and niacin,vitamin D and vitamin E,riboflavin and vitamin C,vitamin C and thiamin,D,nutrition
1599,Doses of substances used in animal toxicity studies are usually many times greater than those experienced by people because:,Animals are generally much less sensitive than people,Such tests can detect only very large risks because of the fact that only small numbers of animals can be used,It is difficult in such studies to determine whether the observed toxic effects were caused by the substance,It is the only way to ensure results are applicable to people,B,nutrition
1600,Risk management for chemical contaminants of food generally relies on:,Banning of the contaminant from food,Allowing levels of contamination based on what manufacturers believe is achievable,Banning any food found to contain detectable amounts of the contaminants,Prohibiting the introduction into commerce food containing contaminants at levels greater than a specified level (a risk-based MRL or tolerance),D,nutrition
1601,"The effects of iron on certain aspects of socio-emotional development (shyness, orientation/engagement and response to unfamiliar pictures) is due to:",The role of iron in myelination,The role of iron in neurochemistry,The role of iron in dopamine production,None of the above,C,nutrition
1602,Insulin deficiency is associated with,Reduced lipolysis,Increased ketogenesis,Reduced gluconeogenesis,Reduced proteolysis,B,nutrition
1603,Which of the following vitamins provides the coenzyme for reduction reactions in fatty acid synthesis?,Folate,Niacin,Riboflavin,Vitamin B6,B,nutrition
1604,"On an average daily basis, the gross energy intake of a healthy woman is 9279 kJ, the energy content of her faeces and urine are 647 kJ and 318 kJ, respectively. Her average daily digestible energy intake and metabolisable energy intake would be, respectively,:",647 kJ and 318 kJ,9279-318 kJ and 9279-647 kJ,9279+318 kJ and 9279+647 kJ,9279-647 kJ and 9279-(647+318) kJ,D,nutrition
1605,"When epidemiologists judge the evidence to establish possible causes of a health outcome, they consider",The estimated strength of the association between an exposure and the outcome.,Evidence that the exposure of interest has appeared before the outcome.,Evidence showing that reductions in the exposure level will reverse the risk of the outcome.,All of the options given.,D,nutrition
1606,Women who are planning a pregnancy are recommended to take a supplement of 400ìg folic acid/ day before and until the end of the first trimester of pregnancy. What effect does such supplementation have on methylation of the imprinted gene IGF2 in the resulting children?,No effect.,Methylation of IGF2 is increased.,Methylation of IGF2 is decreased.,The effect depends on whether the child is male or female.,B,nutrition
1607,Occasionally infants are born without a normally functioning immune system. What are the signs most suggestive of a severe combined immunodeficiency?,Recurrent severe infections,Family history of unexplained death in infancy,Generalised spread of the Tuberculosis strain BCG after vaccination,All of the options given are correct,D,nutrition
1608,Fibre supplements,May be helpful in diverticular disease,Are always easily fermented by colonic bacteria,Are usually derived from soluble fibre sources,Should be avoided in constipation,A,nutrition
1609,Which life-style factors do not confound the interpretation of the health of vegetarians compared with meat-eaters?,Smoking habit,Social class/position,Physical activity,Age,D,nutrition
1610,Which of the following has not at one point in the past few decades been considered as a cause of the oedema of kwashiorkor?,Altered composition of intestinal bacteria,Low intake of antioxidant nutrients,Sudden weaning from the breast,Iron deficiency,D,nutrition
1611,Which of the following is not a non-coding RNA?,mRNA,tRNA,rRNA,miRNA,A,nutrition
1612,More and more detrimental effects of malnutrition during childhood and adult life have been identified. The effects of over nutrition e.g. overweight and obesity are less well known. Overweight and obesity are associated with which of the following,Cardiovascular disease,Breast cancer,Type 2 diabetes (maturity onset),all of the options given are correct,D,nutrition
1613,"After consumption of a mixed meal, a complex cascade of events takes place that integrates fat metabolism at the whole body level. Which of the following is correct?",Consumption of a meal leads to suppression of lipase activity within adipose tissue leading to a decrease in plasma NEFA concentrations,Adipose tissue lipoprotein lipase is activated by insulin and therefore is most active following meal consumption,During the postprandial period the VLDL synthesis pathway is suppressed in favour of hydrolysis of chylomicrons,All options given are correct,D,nutrition
1614,What difference will urbanisation make for hunger and malnutrition?,No significant difference; low-income urban and rural people face similar constraints in accessing food and consume similar diets in developing countries.,It will reduce poverty and hunger because these are almost entirely concentrated in rural areas.,"Urban dwellers depend more than rural people on purchases to acquire food, have little opportunity to grow their own food, and so are much more vulnerable to food price increases.","Poor city folk eat mainly sorghum, millet, maize and root crops, so a lot more of those foods will need to be produced as the world urbanises.",C,nutrition
1615,Which membrane fatty acids are precursors for eicosanoids?,C20 and C22 saturated fatty acids,C18 and C22 polyunsaturated fatty acids,C20 and C22 monounsaturated fatty acids,C20 and C22 polyunsaturated fatty acids,D,nutrition
1616,"Under conditions of metabolic or other stress, which of the following amino acids generally regarded as being dispensable may be required in greater amount than can readily be synthesised in the body?",Glutamate,Alanine,Aspartate,Glycine,D,nutrition
1617,The most direct method for measuring body composition is:,underwater weighing,Skinfold test,Body mass index,weight,A,nutrition
1618,What type of diet is recommended for weight maintenance?,Low protein and low GI,High protein and high GI,Low protein and high GI,High protein and low GI,D,nutrition
1619,The Worldwide HIV/AIDS campaigns have made significant progress over the last years. The HIV infection rates in Europe,Have been significantly decreasing,Have been unchanged,Have been increasing,Are unknown,B,nutrition
1620,"For certain micronutrients, 'biochemical functional indices' have been developed, to assess the adequacy of one or more biochemical pathways that respond predictably to changes in status of that specific micronutrient. One example is serum methylmalonic acid as a biochemical functional index for vitamin B12 status. What is the primary aim of such biochemical functional index measurements?",To achieve a better estimate of the dietary intake of the micronutrient.,"To overcome interference, eg by acute phase-linked effects.","To correct for nutrient losses, e.g. through urinary excretion.","To provide an additional status estimate that can probe critical tissue adequacy, and hence the risk of consequent clinical disease or physiological malfunction.",D,nutrition
1621,"In terms of price per calorie, which of the following foods is the cheapest and most nutritious?",Apple,Slice of bread,Cheese burger,Broccoli,C,nutrition
1622,"All babies lose weight after birth, you should be concerned when:",Weight loss is 5%,Weight loss is < than 10%,Birth weight is not regained by day 7,Weight loss in > than 10% or birth weight is not regained by day 14,D,nutrition
1623,Which of the following statements about glucose metabolism is correct?,All of the reactions of glycolysis are freely reversible for gluconeogenesis.,Fructose cannot be used for gluconeogenesis in the liver.,Red blood cells can catalyse aerobic glycolysis because they contain oxygen bound to haemoglobin.,Red blood cells can only metabolise glucose by anaerobic glycolysis and the pentose phosphate pathway.,D,nutrition
1624,Risk assessment is applied to data on toxicity and human exposure to:,"Estimate the likelihood, or probability, of a toxic effect on exposed humans",To support risk management decisions for food substances,To derive Allowable Daily Intakes,All of the above,A,nutrition
1625,What is the typical body composition of a normal weight young adult man?,"Fat = 17%, Fat Free Mass=83%, Intracellular Fluid= 40%, Extracellular Fluid= 20%","Fat = 83%, Fat Free Mass=40%, Intracellular Fluid= 17%, Extracellular Fluid= 20%","Fat = 20%, Fat Free Mass=17%, Intracellular Fluid= 40%, Extracellular Fluid= 83%","Fat = 40%, Fat Free Mass=20%, Intracellular Fluid= 17%, Extracellular Fluid= 83%",A,nutrition
1626,The critical pH below which demineralisation of tooth enamel occurs is usually around:,6,5.7,5.5,5,C,nutrition
1627,The supplementation of diet with which fat soluble vitamins has been shown to reduce cardiovascular disease?,Vitamin A and D,Vitamin A and K,Vitamin D and E,None of the above,D,nutrition
1628,"Vitamin D deficiency can often be found as a single nutrient deficiency, that is, in an otherwise well-nourished person. The main reason this can happen is because:",Foods containing large amounts of vitamin D are eaten by both poor and wealthy people according to various cultural reasons.,The content of vitamin D in foods depends on the soil in which the food was grown so is not related to wealth or age.,Most vitamin D in the body does not come from food so access to food is not an important determinant of vitamin D status.,Diets containing sufficient other nutrients to promote growth can increase the requirement of vitamin D so that it becomes limiting.,C,nutrition
1629,"Water transport can occur from the lumen of the intestine to the blood stream, or from the blood stream to the intestinal lumen. Which single statement about this phenomenon, below, is actually correct?","A ""flip-flop"" mechanism efficiently transports water directly across the enterocyte membrane","Water flows into the gut from the mucosa, during digestion of starch and protein, in order to reduce luminal osmolality",Water is mostly absorbed by movement between the cells lining the gut (enterocytes) via tight junctions,Dietary intake of water is always greater than water movement in the small intestine,B,nutrition
1630,Which of the following are the recommended blood pressure and lipid goals for the prevention of cardiovascular disease in adults with diabetes?,"BP < 140/90, Trig <150, LDL < 100","BP < 130/85, Trig < 300, LDL < 100","BP < 135/80, Trig < 200, LDL < 130","BP < 130/80, Trig <150, LDL < 100",D,nutrition
1631,Current recommendations are that:,All babies should be exclusively breastfed until around 6 months,Solids should be introduced at 4 months of age,Cow's milk is appropriate for all children from 6 months,Bottle feeding is more appropriate for babies than breast feeding,A,nutrition
1632,Food allergies:,Are avoidable if the allergic agents are not allowed to exceed specified limits,Are a form of food intolerance,Usually occur only after an individual has been sensitized by prior exposure,Are uncomfortable but generally of little medical concern,C,nutrition
1633,"The UNICEF model of the causes of malnutrition identifies several levels of causes: immediate, underlying and basic. Which of the following is not one of the underlying causes in the UNICEF model?",Insufficient rainfall for agriculture,Inadequate access to food,Inadequate care for mothers and children,Insufficient health services and unhealthy environment,A,nutrition
1634,"Which statement about intestinal ""brakes"" and ""accelerators"" is FALSE?",Dietary starch is a potent stimulator of small intestinal motility because it causes insulin release from the pancreas,"Food in the stomach causes gastrin release, which stimulates acid secretion",Short-chain fatty acids which move from colon to caecum (reflux) promote ileo-caecal motility,"The arrival of lipid in the duodenum causes an immediate reduction in motility and a switch from the ""fasting"" to the ""feeding"" pattern.",A,nutrition
1635,What is meant by the term 'functional isolation'?,A child that is only developing one single function at the time,A child that is isolated from proper nutrition and therefore not developing adequately,"A malnourished, apathetic child that is not receiving the same stimulation from the environment affecting his/her development negatively",None of the above,C,nutrition
1636,Which of the following proteins is not involved in the absorption of cholesterol in the small intestine?,NPC1L1,LDL receptor,ACAT2,ABCG5/G8,B,nutrition
1637,What is the prevalence of alcoholic myopathy in alcoholics,30 to 50%,40 to 60%,20 to 40%,10 to 30%,B,nutrition
1638,Molecules of natural polyunsaturated fatty acids in vegetable oils contain:,18 carbon atoms with one carbon-carbon double bond in the cis configuration,20 carbon atoms with at least two carbon-carbon double bonds in the cis configuration,18 carbon atoms with at least two carbon-carbon double bonds in the trans configuration,18 carbon atoms with at least two carbon-carbon double bonds in the cis configuration,D,nutrition
1639,Which of the following statements is not true?,Docosahexaenoic acid can be synthesised from linolenic acid in vegans,Docosahexaenoic acid is absent from vegan diets,Lack of docosahexaenoic acid in vegans causes visual and cognitive impairment,Microalgae can be used to synthesise docosahexaenoic acid,C,nutrition
1640,Which of the following statements about glycogen metabolism is correct?,A key step in the synthesis of glycogen is the formation of UDP-glucose,"In muscle in the fasting state, glycogen is broken down to glucose 6-phosphate, then free glucose.",Glycogen is stored mainly in the liver and brain.,Glucagon increases the synthesis of glycogen,A,nutrition
1641,The WHO made a strong recommendation that the maximum intake of free sugars by individuals within populations should be,<5%,5-10%,<10%,>10%,C,nutrition
1642,Rickets of prematurity is associated with:,Hypocalcaemic convulsions,Use of frusemide diuretic,Vitamin D deficiency in the mother,All of the options given are correct,D,nutrition
1643,Which of the following diseases does obesity increase the risk of developing?,Type 2 diabetes,Cancer,Cardiovascular disease,All of the options given are correct,D,nutrition
1644,Which of the following statements about the protein:energy ratio of the requirement is correct?,Infants and children need the most protein dense food,Children are most susceptible to protein deficient diets,Young adults need the most protein dense food,The elderly need the most protein dense food,D,nutrition
1645,"Since the 1996 World Food Summit, how has the number of food insecure people in the world changed?",The Summit's goal of cutting the number of hungry people in half by 2015 was achieved.,"The number decreased, but not by nearly enough to meet the Summit's goal.",The number increased slightly.,"Because of rising food prices, the number increased dramatically.",B,nutrition
1646,Which of the following statements is correct?,"Starch mainly contains amylose, which is a polymer of fructose with alpha 1,4-linkages","Starch mainly contains amylose, which is a polymer of glucose with alpha 1,4-linkages","Starch mainly contains amylose, which is a polymer of fructose with beta 1,4-linkages","Starch mainly contains amylose, which is a polymer of glucose with beta 1,4-linkages",B,nutrition
1647,What caused the food-price spike of 2007-2008?,Long-term neglect of agricultural and rural development caused the spike.,The use of food crops to produce biofuel caused food prices to rise.,It was caused by commodity price speculation.,All of the above were among the causes.,D,nutrition
1648,"Toxicity and dose-response data from animal studies, together with data of which of the following types, are used to evaluate the safety of a food substance?",Rates of consumption of the food to which the substance is added,The concentration of the substance in food,The daily intake of the substance by humans consuming the food,The total amount of the substance a person will consume over a lifetime,C,nutrition
1649,Epidemiological measures of effect assess the _______ between an exposure and an outcome.,strength of the causal mechanisms,strength of the reversibility,strength of the association,strength of a confounding factor,C,nutrition
1650,The risk factors for type 2 diabetes mellitus include:,family history,being overweight,high intake of dietary fat,All of the options listed are correct,D,nutrition
1651,The World Health Organization recommends zinc supplements for which groups of people?,Pregnant and lactating women,Children with severe malnutrition or diarrhoea,All children in low income areas with high prevalence of stunting,Elderly people with low incomes,B,nutrition
1652,Which of the following statements is/are true? Epigenetic changes may be key to understanding the links between early experience and later health. They may:,include changes in DNA methylation,modify gene expression without changing the underlying DNA sequence,enable one genotype to result in different phenotypes,all of the options given are correct,D,nutrition
1653,Confounding is a particular challenge in nutritional epidemiology because,people change their diets over time.,it is difficult to measure people's diets accurately in large studies.,the are no good methods to adjust for confounding in nutritional studies.,"different dietary components are correlated with each other, making it difficult to separate their effects.",D,nutrition
1654,Infants born to mothers who are vegan may be at increased risk of deficiency of which nutrient?,Vitamin C,Folate,Vitamin B12,Calcium,C,nutrition
1655,Which of the following statements about proteolysis is correct?,The rate of tissue protein catabolism is more or less constant throughout the day.,All tissue proteins undergo catabolism at more or less the same rate.,All proteins that are to be catabolised are tagged with the peptide ubiquitin.,Lysosomal enzymes provide the only mechanism for tissue protein catabolism.,A,nutrition
1656,Which of the following statements about plant sources of amino acids in human nutrition is correct?,All plant protein sources are deficient in essential amino acids,All plant protein sources contain all essential amino acids although some may be limited by the amount of particular amino acids,All plant protein sources are deficient in lysine,All plant protein sources are deficient in the sulphur amino acids acids,B,nutrition
1657,Which of the following vitamins provides the coenzyme for oxidative decarboxylation of pyruvate?,Folate,Niacin,Riboflavin,Thiamin,D,nutrition
1658,Gluten,May increase carbohydrate malabsorption,Is a constituent of avenin,Is the main protein in maize,May be contra-indicated in UC,A,nutrition
1659,Adaptive thermogenesis refers to:,A decrease in heat loss when exposed to cold,A decrease in non-shivering thermogenesis when exposed to cold,An increase in basal metabolic rate that is not fully explained by a change in body composition during chronic overfeeding,A decrease in spontaneous physical activity during chronic overfeeding.,C,nutrition
1660,Which of the following rules regarding the interconversion of fuels are central to the integration of metabolic pathways?,Fatty acids can be made from and converted to carbohydrates and amino acids,Carbohydrates can be made from and converted to amino acids and fatty acids,Fatty acids can be made from but not converted to carbohydrates and amino acids,Amino acids can be made from and converted to fatty acids,C,nutrition
1661,Assessing growth in routine practice should be:,Height only,Weight only,Weight and height,Head circumference,C,nutrition
1662,The daily amount of protein oxidized in the body of a person spending 24 hours in a respiratory chamber can be determined from his/her:,O2 consumption alone,CO2 production alone,Breath collection,Total urinary nitrogen excretion alone,D,nutrition
1663,What is the primary lipoprotein secreted from the liver that is at least partially composed of dietary derived lipids?,Chylomicrons,HDL,VLDL,LDL,C,nutrition
1664,Which of the following statements about the nutritional status of older people is correct?,The risk of high iron stores is greater than the risk of iron deficiency in older people.,All older people living in Western countries have low vitamin D status.,There is strong evidence that vitamin C supplements lower the risk of cancer in older people.,Low dietary intake of vitamin B12 is the main cause of vitamin B12 deficiency in older people.,A,nutrition
1665,Which of the following could lead to iodine deficiency?,Low intake of fruits and vegetables,Intake only of locally grown food in central Africa,Insufficient caloric intake,Inadequate sunlight exposure,B,nutrition
1666,"In relation to Eating Disorders, it is correct that:",ED have decreased their prevalence over the last decades,AN has the highest mortality across all mental disorders,BED occurs exclusively in obese subjects,Individuals with BN are predominantly impulsive and have comorbid borderline personality disorder,B,nutrition
1667,What are the limitations of food balance sheets? (select all that apply)?,No account is taken of waste or losses of food,Consumption estimates give higher values than those derived from other types of surveys,No information is available on the distribution of consumption within a country,All of the options given are correct,D,nutrition
1668,The pancreas secretes a large amount of digestive enzymes after a meal. Which statement about this process is correct?,Pepsinogen is the chief enzyme which digests protein and requires removal of a peptide sequence from the active cleft before it can work,Pancreatic á-amylase will hydrolyse starch to free glucose,Enteropeptidase converts trypsinogen to trypsin by cleavage of a peptide sequence that blocks the active site of trypsin.,Pancreatic secretion of hydrochloric acid is required to provide the correct pH for maximal pancreatic enzyme in the duodenum,C,nutrition
1669,A deficiency of which vitamin has been associated with enamel defects and increased risk of dental caries?,Vitamin A,Folic acid,Vitamin C,Vitamin D,D,nutrition
1670,Which of these factors reduces the risk for cancer of the colorectum?,Vitamin C,Dietary fibre,Alcohol,Oestrogen,B,nutrition
1671,Deficiencies of which of the following nutrients can lead to anaemia?,Iodine and vitamin C,Copper and iron,Zinc and protein,Vitamin D and zinc,B,nutrition
1672,"Which of two hormones act on the hypothalamus to increase satiety and hunger, respectively?",Leptin and insulin,Leptin and ghrelin,Ghrelin and leptin,Ghrelin and insulin,B,nutrition
1673,What is the phenotype of a congenital disorder impairing the secretion of leptin?,"Normal energy intake, normal body weight and hyperthyroidism","Obesity, excess energy intake, normal growth and hypoinsulinaemia","Obesity, abnormal growth, hypothyroidism, hyperinsulinaemia","Underweight, abnormal growth, hypothyroidism, hyperinsulinaemia",C,nutrition
1674,What are the effects of globalisation on food security?,Wealthy countries subsidies and trade barriers make it difficult for developing countries to take advantage of the potential of globalisation for advancing food security.,"World Trade Organisation rules do not cover agriculture, so globalisation really has no bearing on food security.",Supermarkets are so far the only way in which food and agriculture have experienced globalisation.,Developing countries need to create publicly-owned food reserves in order to realise the potential benefits.,A,nutrition
1675,Which of the following statements is correct?,The amount of oxygen available in the headspace of canned food is kept at a high level so as to limit losses of vitamin C,Reheating canned vegetables before serving only causes small losses of vitamin C,Losses of vitamin C are much higher for most canned fruits than those for canned vegetables,Losses of vitamin C in canned foods during storage at ambient temperature tend to be small,D,nutrition
1676,Which statement about Engel's law on food economics is correct?,"As income rises, the proportion of income spent on food, declines","As income rises, the proportion of income spent on food, increases","As income rises, the proportion of income spent on food, remains similar","As income declines, the proportion of income spent on food, declines",A,nutrition
1677,The stomach lining contains several types of cells. Which statement about them is correct?,Mucous cells secrete the glycoprotein mucin,Chief cells the hormone gastrin (which stimulates acid secretion).,"Parietal cells secrete pepsinogen, the inactive precursor of pepsin",G Cells secrete hydrochloric acid,A,nutrition
1678,Which of these factors increases the risk for lung cancer?,Saturated fat,Obesity,High dose ß-carotene supplements,Alcohol,C,nutrition
1679,"According to the recommendations for the nutritional management of patients with diabetes, the consumption of saturated fat should be:",<10% of total daily energy,<12%,<15%,<16%,A,nutrition
1680,"When using bioelectrical impedance for measuring body composition, why does an electrical current travel faster through muscle than it does through fat?",Muscle contains less water than fat,Muscle contains more water than fat,Muscle weighs more than fat,Muscle weighs less than fat,B,nutrition
1681,Maternal weight gain is usually monitored in pregnancy. Which of the following statements is/are true:,research to define pattern and level of optimal weight gain is ongoing,both inadequate and excessive weight gain are associated with poorer maternal and infant health outcomes,excessive maternal weight gain in pregnancy has been linked to obesity in the offspring,all of the options given are correct,D,nutrition
1682,Which of the following will provide the main fuel for muscle contraction during short-term intense activity such as sprinting?,Muscle triacylglycerol,Plasma free fatty acids,Plasma triacylglycerol in VLDL,Muscle glycogen,D,nutrition
1683,How many calories should a woman eat each day during pregnancy?,Less than 200 kCal,An additional 200 kCal in the third trimester only,An additional 200 kCal throughout pregnancy,No change from pre-pregnant levels,B,nutrition
1684,Which of the following will be increased in vitamin K deficiency,The plasma concentration of calcitonin,The plasma concentration of prothrombin,The time for blood to clot,Haemolysis due to oxidative damage to red cell membranes,C,nutrition
1685,Which of the following contributes to reduced energy expenditure in older adults?,A reduction in lean body mass,A reduction in physical activity,A reduction in basal metabolic rate,All of the above,D,nutrition
1686,Which one of following statements about nitrogen balance is correct?,In nitrogen equilibrium the excretion of nitrogenous metabolites is greater than the dietary intake of nitrogenous compounds.,Positive nitrogen balance means that there is a net loss of protein from the body,In positive nitrogen balance the excretion of nitrogenous metabolites is less than the dietary intake of nitrogenous compounds.,In negative nitrogen balance the excretion of nitrogenous metabolites is less than the dietary intake of nitrogenous compounds,C,nutrition
1687,Deficiency of vitamin A in children causes:,Goitre,Poor cognitive development,Poor bone growth,Increased risk of mortality,D,nutrition
1688,Which of these factors increases the risk for postmenopausal breast cancer?,Red meat,Dietary fat,Fish,Obesity,D,nutrition
1689,"Which of the following foods might be considered a ""goitrogen""?",Fish,Meat,Rice,Brassicas,D,nutrition
